,_id,created_at,id,text,truncated,geo,coordinates,place,lang,timestamp_ms,extended_tweet,extended_entities,possibly_sensitive,withheld_in_countries
23894,5d478e632f7dded2e4a62d96,Mon Aug 05 02:03:10 +0000 2019,1158196717092605952,"This made me feel soooo good.
I’m rly glad he’s bullying the world now",False,,,,en,1564970590266,,,,
23895,5d478e6c2f7dded2e4a62d9c,Mon Aug 05 02:03:19 +0000 2019,1158196754510176256,"Tourette's! Don't Be Bullies! 

Find Ya Children! 

Science Monotheism God The Only Bully!

Take Advantage Of The D… https://t.co/jPzPHak3Xi",True,,,,en,1564970599187,"{'full_text': ""Tourette's! Don't Be Bullies! \n\nFind Ya Children! \n\nScience Monotheism God The Only Bully!\n\nTake Advantage Of The Disabled? \n\nGod Ends Ya Species!"", 'display_text_range': [0, 146], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}}",,,
23896,5d478e6c2f7dded2e4a62d9e,Mon Aug 05 02:03:19 +0000 2019,1158196755730534400,I want Twitter to know @Cathalinaa95 isn’t a bully 😂,False,,,,en,1564970599478,,,,
23897,5d478e6c2f7dded2e4a62da0,Mon Aug 05 02:03:19 +0000 2019,1158196756418633730,@TravelTipsterGo @BanffNP That's assault. I would press charges.  No one has that right to threaten and harass you.… https://t.co/YYqyQS21q6,True,,,,en,1564970599642,"{'full_text': ""@TravelTipsterGo @BanffNP That's assault. I would press charges.  No one has that right to threaten and harass you. It's a hate crime.\nSo sorry this thug bullied you.\nI hope authorities arrest him and he loses his job, along with his two accomplices."", 'display_text_range': [26, 250], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'TravelTipsterGo', 'name': 'TheTravelTipster', 'id': 819654527678877696, 'id_str': '819654527678877696', 'indices': [0, 16]}, {'screen_name': 'BanffNP', 'name': 'Banff National Park', 'id': 109617898, 'id_str': '109617898', 'indices': [17, 25]}], 'symbols': []}}",,,
23898,5d478e6d2f7dded2e4a62da2,Mon Aug 05 02:03:20 +0000 2019,1158196758339608576,Lol. Not downloading ever because now I don’t get to see any other annoying ads and I’m pretty used to the Yango ad… https://t.co/Xjg6rKdpSn,True,,,"{'id': '00d2c236584e7252', 'url': 'https://api.twitter.com/1.1/geo/id/00d2c236584e7252.json', 'place_type': 'admin', 'name': 'Eastern', 'full_name': 'Eastern, Ghana', 'country_code': 'GH', 'country': 'Ghana', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.263071, 5.681415], [-1.263071, 7.211751], [0.216382, 7.211751], [0.216382, 5.681415]]]}, 'attributes': {}}",en,1564970600100,"{'full_text': 'Lol. Not downloading ever because now I don’t get to see any other annoying ads and I’m pretty used to the Yango ad now. 🤷🏾\u200d♀️', 'display_text_range': [0, 126], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}}",,,
23899,5d478e6d2f7dded2e4a62da4,Mon Aug 05 02:03:20 +0000 2019,1158196759862095872,It has nun to do with video games it’s mostly mf getting bullied and depression so stick a thumb up your ass u stup… https://t.co/o2Pexrqoak,True,,,,en,1564970600463,"{'full_text': 'It has nun to do with video games it’s mostly mf getting bullied and depression so stick a thumb up your ass u stupid ass rich white bitch', 'display_text_range': [0, 138], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}}",,,
23900,5d478e702f7dded2e4a62da8,Mon Aug 05 02:03:23 +0000 2019,1158196771018956803,"Why does a domestic terrorist get this mental health, bully and whatever else sympathetic spin they can come up wit… https://t.co/1HvBFZlksM",True,,,,en,1564970603123,"{'full_text': 'Why does a domestic terrorist get this mental health, bully and whatever else sympathetic spin they can come up with treatment? Call it what it is. Domestic terrorism. #homegrown #thisisAmerica https://t.co/e2LqP4pBZ4', 'display_text_range': [0, 217], 'entities': {'hashtags': [{'text': 'homegrown', 'indices': [168, 178]}, {'text': 'thisisAmerica', 'indices': [179, 193]}], 'urls': [{'url': 'https://t.co/e2LqP4pBZ4', 'expanded_url': 'https://www.facebook.com/1286704623/posts/10218804298480326/', 'display_url': 'facebook.com/1286704623/pos…', 'indices': [194, 217]}], 'user_mentions': [], 'symbols': []}}",,False,
23901,5d478e702f7dded2e4a62dac,Mon Aug 05 02:03:23 +0000 2019,1158196772453474304,#Bullying is bad but how to cope with it when it comes from a parent? #MusicSavedMyLife,False,,,,en,1564970603465,,,,
23902,5d478e712f7dded2e4a62dae,Mon Aug 05 02:03:23 +0000 2019,1158196773833211904,@DIRECTVService @CBS. Ok I  am sick and tired of Locast interrupting a show with there donation pledges. I already… https://t.co/YXWEVR8aSE,True,,,,en,1564970603794,"{'full_text': '@DIRECTVService @CBS. Ok I  am sick and tired of Locast interrupting a show with there donation pledges. I already pay u for CBS I refuse to pay twice. So get ur crap  together &amp; get us CBS. CBS stop being a bully. You both have enough $ stop screening the little guys. Greedy pigs', 'display_text_range': [16, 285], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'DIRECTVService', 'name': 'DIRECTV Service', 'id': 65510348, 'id_str': '65510348', 'indices': [0, 15]}, {'screen_name': 'CBS', 'name': 'CBS', 'id': 97739866, 'id_str': '97739866', 'indices': [16, 20]}], 'symbols': []}}",,,
23903,5d478e7c2f7dded2e4a62dbc,Mon Aug 05 02:03:35 +0000 2019,1158196822034149376,"She's served 15 terms, voting her out may be challenging.",False,,,,en,1564970615286,,,,
